,ID,time,x,y
55764,12779.0,4175.0,670.1558227539062,24.610389709472656
55765,12768.0,4175.0,5.377777576446533,4.044444561004639
55766,746.0,4176.0,891.9091186523438,1478.2908935546875
55767,12639.0,4176.0,1053.7586669921875,1468.7586669921875
55768,12120.0,4176.0,710.2930908203125,1152.0517578125
55769,8.0,4176.0,492.9800109863281,1034.199951171875
55770,12757.0,4176.0,1011.9104614257812,1014.9403076171876
55771,12753.0,4176.0,1033.9241943359375,900.9242553710938
55772,2549.0,4176.0,1075.6190185546875,867.920654296875
55773,3384.0,4176.0,1148.8846435546875,727.3076782226562
55775,12779.0,4176.0,672.2374877929688,25.075000762939453
55776,12768.0,4176.0,4.057142734527588,4.114285945892334
55777,746.0,4177.0,891.654541015625,1478.490966796875
55778,12639.0,4177.0,1053.7857666015625,1468.5
55780,12120.0,4177.0,710.2857055664062,1151.9107666015625
55781,8.0,4177.0,491.870361328125,1035.5369873046875
55782,12757.0,4177.0,1011.328369140625,1016.9850463867188
55783,12753.0,4177.0,1034.0,900.6514892578125
55784,2549.0,4177.0,1075.5806884765625,867.6613159179688
55785,3384.0,4177.0,1150.22216796875,729.24072265625
55787,12779.0,4177.0,674.722900390625,25.63855361938477
55788,12768.0,4177.0,3.941176414489746,3.5
55789,746.0,4178.0,891.385986328125,1479.0701904296875
55790,12639.0,4178.0,1053.72412109375,1468.7586669921875
55791,12120.0,4178.0,709.8928833007812,1150.625
55792,8.0,4178.0,490.8367309570313,1036.9796142578125
55793,12757.0,4178.0,1010.98486328125,1018.6212158203124
55794,12753.0,4178.0,1033.78125,901.109375
55795,2549.0,4178.0,1075.75390625,867.876953125
55796,3384.0,4178.0,1151.490966796875,731.2545166015625
55797,12779.0,4178.0,678.4375,26.537500381469727
55798,12768.0,4178.0,3.2647058963775635,3.764705896377564
55799,746.0,4179.0,891.5660400390625,1478.547119140625
55800,12639.0,4179.0,1053.689697265625,1468.7586669921875
55801,12120.0,4179.0,709.1206665039062,1149.413818359375
55802,8.0,4179.0,489.2452697753906,1038.3773193359375
55803,12757.0,4179.0,1010.8551025390624,1020.1304321289062
55804,12753.0,4179.0,1033.761962890625,901.015869140625
55805,2549.0,4179.0,1075.2294921875,867.7213134765625
55806,3384.0,4179.0,1151.9642333984375,732.6071166992188
55807,12779.0,4179.0,682.4815063476562,27.76543235778809
55808,746.0,4180.0,891.62744140625,1478.509765625
55809,12639.0,4180.0,1053.72412109375,1468.7586669921875
55810,12120.0,4180.0,709.0545654296875,1149.0181884765625
55811,8.0,4180.0,487.4693908691406,1039.7347412109375
55812,12757.0,4180.0,1010.5908813476562,1021.1969604492188
55813,12753.0,4180.0,1033.6153564453125,901.3076782226562
55814,2549.0,4180.0,1075.5,868.0645141601562
55815,3384.0,4180.0,1153.0400390625,734.719970703125
55816,12779.0,4180.0,691.1475219726562,30.180328369140625
55818,746.0,4181.0,891.5892944335938,1478.517822265625
55819,12639.0,4181.0,1053.7586669921875,1468.7586669921875
55820,12120.0,4181.0,708.5087890625,1148.5438232421875
55821,8.0,4181.0,486.62744140625,1040.13720703125
55822,12757.0,4181.0,1010.2205810546876,1022.7058715820312
55823,12753.0,4181.0,1033.84375,901.015625
55824,2549.0,4181.0,1075.392822265625,866.3928833007812
55825,3384.0,4181.0,1153.9200439453125,735.8400268554688
55826,12779.0,4181.0,688.8095092773438,29.2261905670166
55828,746.0,4182.0,891.673095703125,1478.7115478515625
55829,12639.0,4182.0,1053.7586669921875,1468.7586669921875
55830,12120.0,4182.0,707.4464111328125,1147.25
55831,8.0,4182.0,484.1000061035156,1041.8199462890625
55832,12757.0,4182.0,1010.3912963867188,1023.275390625
55833,12753.0,4182.0,1033.90625,901.234375
55834,2549.0,4182.0,1075.5357666015625,866.1607055664062
55835,3384.0,4182.0,1155.3599853515625,737.0599975585938
55837,12779.0,4182.0,692.8624877929688,30.450000762939453
55839,746.0,4183.0,891.6481323242188,1478.7962646484375
55840,12639.0,4183.0,1053.7586669921875,1468.7586669921875
55841,12120.0,4183.0,706.6842041015625,1145.982421875
55842,8.0,4183.0,483.0,1042.9361572265625
55843,12757.0,4183.0,1010.2571411132812,1024.05712890625
55844,12753.0,4183.0,1033.75,901.109375
55845,2549.0,4183.0,1075.34423828125,868.2294921875
55846,3384.0,4183.0,1156.629638671875,738.0925903320312
55847,12779.0,4183.0,694.716064453125,31.04938316345215
55849,746.0,4184.0,891.4727172851562,1478.8544921875
55850,12639.0,4184.0,1053.7586669921875,1468.7586669921875
55851,12120.0,4184.0,706.0943603515625,1145.4150390625
55852,8.0,4184.0,482.14892578125,1044.170166015625
55853,12757.0,4184.0,1010.31884765625,1025.2608642578125
55854,12753.0,4184.0,1034.03076171875,900.7999877929688
55855,2549.0,4184.0,1075.3175048828125,868.3333129882812
55856,3384.0,4184.0,1157.6875,739.1458129882812
55857,12779.0,4184.0,699.9210815429688,32.578948974609375
55859,746.0,4185.0,891.7036743164062,1478.8148193359375
55860,12639.0,4185.0,1053.7930908203125,1468.7586669921875
55861,12120.0,4185.0,705.2941284179688,1144.7254638671875
55862,8.0,4185.0,480.75,1045.6875
55863,12757.0,4185.0,1010.0142822265624,1026.5
55864,12753.0,4185.0,1034.03076171875,900.7692260742188
55865,2549.0,4185.0,1075.3499755859375,868.0499877929688
55866,3384.0,4185.0,1159.0189208984375,741.3207397460938
55868,12779.0,4185.0,702.337646484375,33.181819915771484
55869,746.0,4186.0,891.5098266601562,1478.4117431640625
55870,12639.0,4186.0,1053.8182373046875,1467.0
55871,12120.0,4186.0,704.425537109375,1143.55322265625
55872,8.0,4186.0,479.1799926757813,1047.5999755859375
55873,12757.0,4186.0,1009.7681274414062,1027.76806640625
55874,12753.0,4186.0,1033.6875,901.28125
55875,2549.0,4186.0,1074.980712890625,866.6346435546875
55876,3384.0,4186.0,1160.56005859375,743.1199951171875
55877,12779.0,4186.0,704.1599731445312,33.61333465576172
55879,746.0,4187.0,891.5090942382812,1478.54541015625
55880,12639.0,4187.0,1053.689697265625,1468.7586669921875
55881,12120.0,4187.0,703.6414794921875,1141.79248046875
55882,8.0,4187.0,478.3269348144531,1048.730712890625
55883,12757.0,4187.0,1009.5352172851562,1028.8873291015625
55884,12753.0,4187.0,1033.8226318359375,901.1290283203124
55885,2549.0,4187.0,1074.966064453125,868.4576416015625
55886,3384.0,4187.0,1160.699951171875,743.5800170898438
55887,12779.0,4187.0,705.582275390625,34.31645584106445
55889,746.0,4188.0,891.5384521484375,1478.75
55890,12639.0,4188.0,1053.82763671875,1468.7586669921875
55891,12120.0,4188.0,703.4339599609375,1141.1697998046875
55892,8.0,4188.0,477.9215698242188,1049.5882568359375
55893,12757.0,4188.0,1009.7101440429688,1030.23193359375
55894,12753.0,4188.0,1033.920654296875,901.111083984375
55895,2549.0,4188.0,1074.9482421875,868.913818359375
55896,3384.0,4188.0,1161.800048828125,744.7999877929688
55897,12779.0,4188.0,707.0750122070312,34.875
55899,746.0,4189.0,891.9629516601562,1478.4630126953125
55900,12639.0,4189.0,1053.82763671875,1468.7586669921875
55901,12120.0,4189.0,702.79248046875,1140.5093994140625
55902,8.0,4189.0,477.1272583007813,1051.418212890625
55903,12757.0,4189.0,1009.7857055664062,1031.6142578125
55904,12753.0,4189.0,1033.9365234375,900.952392578125
55905,2549.0,4189.0,1075.0167236328125,869.1333618164062
55906,3384.0,4189.0,1162.7115478515625,745.7307739257812
55907,12779.0,4189.0,709.5925903320312,35.654319763183594
55909,746.0,4190.0,891.4727172851562,1479.0
55910,12639.0,4190.0,1053.95654296875,1467.2608642578125
55912,12120.0,4190.0,701.870361328125,1139.4630126953125
55913,8.0,4190.0,476.2264099121094,1052.4150390625
55914,12757.0,4190.0,1009.55224609375,1033.76123046875
55915,12753.0,4190.0,1034.0909423828125,900.5606079101562
55916,2549.0,4190.0,1074.648193359375,867.0555419921875
55917,3384.0,4190.0,1164.6153564453125,747.1923217773438
55919,12779.0,4190.0,712.693359375,36.959999084472656
55921,746.0,4191.0,891.629638671875,1478.351806640625
55922,12639.0,4191.0,1053.72412109375,1468.7586669921875
55923,12120.0,4191.0,701.8431396484375,1139.2940673828125
55924,8.0,4191.0,475.7962951660156,1052.5926513671875
55925,12757.0,4191.0,1009.7101440429688,1035.2608642578125
55926,12753.0,4191.0,1033.8387451171875,901.1290283203124
55927,2549.0,4191.0,1074.9031982421875,869.6290283203125
55928,3384.0,4191.0,1165.6077880859375,748.37255859375
55929,12779.0,4191.0,714.5833129882812,38.08333206176758
55930,746.0,4192.0,891.6153564453125,1478.6922607421875
55931,12639.0,4192.0,1053.72412109375,1468.7586669921875
55932,12120.0,4192.0,701.8214111328125,1138.892822265625
55933,8.0,4192.0,474.3200073242188,1054.47998046875
55934,12757.0,4192.0,1009.8955078125,1036.4029541015625
55935,12753.0,4192.0,1033.8154296875,901.1692504882812
55936,2549.0,4192.0,1075.15625,869.25
55937,3384.0,4192.0,1167.6077880859375,750.2352905273438
55938,12779.0,4192.0,717.2236938476562,39.42105102539063
55940,746.0,4193.0,891.603759765625,1478.603759765625
55941,12639.0,4193.0,1053.75,1468.5
55942,12120.0,4193.0,701.3818359375,1137.9454345703125
55943,8.0,4193.0,473.0612182617188,1056.0203857421875
55944,12757.0,4193.0,1010.028564453125,1037.0999755859375
55945,12753.0,4193.0,1034.0,901.046875
55946,2549.0,4193.0,1074.5999755859375,867.3800048828125
55947,3384.0,4193.0,1168.8846435546875,751.0192260742188
55948,12779.0,4193.0,718.8289184570312,40.26315689086914
55950,746.0,4194.0,891.6481323242188,1478.22216796875
55951,12639.0,4194.0,1053.689697265625,1468.7586669921875
55952,12120.0,4194.0,701.4181518554688,1137.6181640625
55953,8.0,4194.0,471.5319213867188,1057.9573974609375
55954,12757.0,4194.0,1009.9041137695312,1038.5753173828125
55955,12753.0,4194.0,1033.796875,901.0
55956,2549.0,4194.0,1075.126953125,868.952392578125
55957,3384.0,4194.0,1170.603759765625,752.132080078125
55958,12779.0,4194.0,720.9493408203125,41.25316619873047
55960,746.0,4195.0,891.6428833007812,1478.2857666015625
55961,12639.0,4195.0,1053.7586669921875,1468.7586669921875
55962,12120.0,4195.0,700.69091796875,1135.9818115234375
55963,8.0,4195.0,470.7708435058594,1058.8125
55964,12757.0,4195.0,1010.3333129882812,1040.0533447265625
55965,12753.0,4195.0,1033.90625,900.921875
55966,2549.0,4195.0,1074.7254638671875,867.6078491210938
55967,3384.0,4195.0,1171.32080078125,752.8302001953125
55969,12779.0,4195.0,723.95947265625,42.81081008911133
55971,746.0,4196.0,891.5471801757812,1478.3018798828125
55972,12639.0,4196.0,1053.72412109375,1468.7586669921875
55973,12120.0,4196.0,699.8928833007812,1134.857177734375
55974,8.0,4196.0,469.0833435058594,1060.125
55975,12757.0,4196.0,1010.6351318359376,1041.608154296875
55976,12753.0,4196.0,1033.859375,900.75
55977,2549.0,4196.0,1074.98388671875,869.3064575195312
55978,3384.0,4196.0,1172.1817626953125,753.8181762695312
55979,12779.0,4196.0,725.6666870117188,43.92307662963867
55980,746.0,4197.0,891.4905395507812,1478.4906005859375
55981,12639.0,4197.0,1053.689697265625,1468.7586669921875
55982,12120.0,4197.0,699.1929931640625,1133.859619140625
55983,8.0,4197.0,467.8461608886719,1060.6346435546875
55984,12757.0,4197.0,1010.9177856445312,1044.0
55985,12753.0,4197.0,1033.953857421875,900.7999877929688
55986,2549.0,4197.0,1074.65380859375,867.0576782226562
55987,3384.0,4197.0,1173.2373046875,755.2542114257812
55988,12779.0,4197.0,728.1923217773438,45.10256576538086
55989,746.0,4198.0,891.5384521484375,1478.6346435546875
55990,12639.0,4198.0,1053.857177734375,1466.761962890625
55991,12120.0,4198.0,698.9818115234375,1133.69091796875
55992,8.0,4198.0,467.2115478515625,1061.0384521484375
55993,12757.0,4198.0,1011.0555419921876,1045.1944580078125
55994,12753.0,4198.0,1033.8387451171875,901.1290283203124
55995,2549.0,4198.0,1074.4705810546875,867.6078491210938
55996,3384.0,4198.0,1173.5999755859375,755.9454345703125
55997,12779.0,4198.0,730.7721557617188,46.17721557617188
55999,746.0,4199.0,892.0181884765625,1478.0181884765625
56000,12639.0,4199.0,1053.8214111328125,1468.5
56002,12120.0,4199.0,698.5454711914062,1132.7818603515625
56003,8.0,4199.0,466.345458984375,1061.763671875
56004,12757.0,4199.0,1011.0946044921876,1046.2027587890625
56005,12753.0,4199.0,1033.8387451171875,901.1129150390624
56006,2549.0,4199.0,1074.67919921875,867.6226196289062
56007,3384.0,4199.0,1175.4000244140625,756.7999877929688
56008,12779.0,4199.0,733.05126953125,47.16666793823242
56010,746.0,4200.0,891.625,1477.892822265625
56011,12639.0,4200.0,1053.7586669921875,1468.7586669921875
56012,12120.0,4200.0,698.4210815429688,1132.122802734375
56013,8.0,4200.0,465.3846130371094,1062.9615478515625
56014,12757.0,4200.0,1011.1571655273438,1047.44287109375
56015,12753.0,4200.0,1033.8870849609375,901.0968017578124
56016,2549.0,4200.0,1074.8077392578125,866.8461303710938
56017,3384.0,4200.0,1176.9215087890625,757.6470336914062
56018,12779.0,4200.0,735.4249877929688,48.20000076293945
56020,746.0,4201.0,891.30908203125,1478.6363525390625
56021,12639.0,4201.0,1053.7586669921875,1468.7586669921875
56022,12120.0,4201.0,698.3392944335938,1131.1964111328125
56023,8.0,4201.0,463.4117736816406,1064.2353515625
56024,12757.0,4201.0,1010.9154663085938,1049.042236328125
56025,12753.0,4201.0,1034.0,900.734375
56026,2549.0,4201.0,1074.603759765625,867.5848999023438
56027,3384.0,4201.0,1179.040771484375,759.4285888671875
56029,12779.0,4201.0,736.543212890625,49.03703689575195
56030,746.0,4202.0,891.4339599609375,1478.73583984375
56031,12639.0,4202.0,1053.82763671875,1468.7586669921875
56033,12120.0,4202.0,698.1724243164062,1129.77587890625
56034,8.0,4202.0,463.0196228027344,1064.5882568359375
56035,12757.0,4202.0,1010.5,1051.263916015625
56036,12753.0,4202.0,1034.1790771484375,900.5074462890625
56037,2549.0,4202.0,1074.699951171875,867.1400146484375
56038,3384.0,4202.0,1179.551025390625,760.30615234375
56039,12779.0,4202.0,739.2820434570312,50.846153259277344
56040,746.0,4203.0,891.6481323242188,1478.4073486328125
56041,12639.0,4203.0,1053.689697265625,1468.7586669921875
56042,12120.0,4203.0,698.2000122070312,1128.25
56043,8.0,4203.0,460.4888916015625,1066.111083984375
56044,12757.0,4203.0,1010.3239135742188,1052.042236328125
56045,12753.0,4203.0,1033.84130859375,901.079345703125
56046,2549.0,4203.0,1074.75,866.7692260742188
56047,3384.0,4203.0,1180.0400390625,760.8599853515625
56048,12779.0,4203.0,741.0389404296875,51.96104049682617
56049,746.0,4204.0,891.4151000976562,1478.3585205078125
56050,12639.0,4204.0,1053.689697265625,1468.7586669921875
56051,12120.0,4204.0,697.8571166992188,1126.8035888671875
56052,8.0,4204.0,458.977783203125,1066.933349609375
56053,12757.0,4204.0,1010.4179077148438,1053.2537841796875
56054,12753.0,4204.0,1033.84619140625,900.8461303710938
56055,2549.0,4204.0,1074.7451171875,866.8038940429688
56056,3384.0,4204.0,1180.3333740234375,761.1961059570312
56057,12779.0,4204.0,743.06494140625,53.24675369262695
56059,746.0,4205.0,891.5,1479.0926513671875
56060,12639.0,4205.0,1053.7586669921875,1468.7586669921875
56062,12120.0,4205.0,697.73681640625,1125.73681640625
56063,8.0,4205.0,457.5490112304688,1067.5882568359375
56064,12757.0,4205.0,1010.1690063476562,1055.5775146484375
56065,12753.0,4205.0,1033.873046875,901.1270141601562
56066,2549.0,4205.0,1074.8302001953125,866.5094604492188
56067,3384.0,4205.0,1181.3958740234375,761.5625
56068,12779.0,4205.0,744.256103515625,53.95121765136719
56070,746.0,4206.0,891.5283203125,1478.603759765625
56071,12639.0,4206.0,1053.862060546875,1468.7586669921875
56072,12120.0,4206.0,697.4031982421875,1124.0968017578125
